Taimekaitsevahendi ID,Taimekaitsevahendi nimi,Taimekaitsevahendi liik,Taimekaitsevahendi alamliik,Preparatiivne vorm,Loa valdaja,Loa valdaja aadress,On keemiline,Registreerimise number,Registreerimise kuupäev,Turulelaskmise loa lõpptähtaeg,Müüdav tunnistusega,Ohutuslaused hoiatuslaused,Riskilaused ohulaused,Ohtlikkuse kategooria,Ohumärgid piktogrammid ja tunnussõna,Ohtlikud ained etiketil,Taimekaitsevahendi tootja aadress,Taimekaitsevahendi pakendaja,Pakendi suurus,Vabamüügis olevad pakendid,EL kombineeritud nomenklatuur
00795,Callisto 100 SC,Herbitsiid,,Suspensioonikontsentraat,SYNGENTA POLSKA SP. Z.O.O.,,True,00795,2021-04-14,2033-05-31,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P260 Auru ja pihustatud ainet mitte sisse hingata;P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 15 m põllumajanduses mittekasutatavast maast või 5m kombineeritult 50% triivi vähendavate otsikutega.;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.","H319 Põhjustab tugevat silmade ärritust;H361 Arvatavasti kahjustab viljakust või loodet;H373 Võib kahjustada elundeid (silmad, närvisüsteem) pikaajalisel või korduval kokkupuutel.;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime",Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Reproduktiivtoksilisus - Repr. 2;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS07;GHS08;GHS09;Hoiatus,Mesotrioon,"CH 4002 – Basel, Switzerland",Syngenta Crop Protection AG,"250 ml, 1L, 5L, 10L, 20L HDPE",,38089327
00869,Kudos,Kasvuregulaator,,Vees dispergeeruvad graanulid,FINE AGROCHEMICALS LTD.,"Hill End House, Whittington, Worcester, WR5 2RQ, Suurbritannia",True,00869,2024-03-06,2027-05-31,True,"SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m põllumajanduses mittekasutatavast maast või kasutada 50% triivi vähendavaid otsakuid.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P102 Hoida lastele kättesaamatus kohas.;P270 Toote käitlemise ajal mitte süüa, juua ega suitsetada. ;P391 Mahavoolanud toode kokku koguda. ","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H411 Mürgine veeorganismidele, pikaajaline toime",Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS09;Puudub,,"Hill End House, Whittington, Worcester, WR5 2RQ, Suurbritannia",Fine Agrochemicals Limited,"1 L (500 g); 2,3 L (1 kg); 5 L (2,5 kg); 10 L (5 kg) HDPE anum.",,38089390
653,Temsa SC,Herbitsiid,,Suspensioonikontsentraat,GLOBACHEM N.V.,"Brustem Industriepark, Lichtenberglaan 2019, B-3800 Sint-Truiden",True,653,2017-01-10,2033-05-31,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P260 Auru ja pihustatud ainet mitte sisse hingata;P305+P351+P338+ P310 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m pinnaveekogudest. Mittesihtliikide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P391 Mahavoolanud toode kokku koguda. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime;H318 Põhjustab raskeid silmakahjustusi;H317 Võib põhjustada allergilist nahareaktsiooni;H361d Arvatavasti kahjustab loodet",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Reproduktiivtoksilisus - Repr. 2,GHS09;GHS07;GHS05;GHS08;Ettevaatust,"mesotrioon, etoksüleeritud rasvalkohol","Brustem Industriepark, Lichtenberglaan 2019, 3800 Sint-Truiden, Belgium",Globachem NV,"1 l HDPE ja COEX PE/PA pudelid, 2 l HDPE ja COEX PE/PA kanistrid, 3 l HDPE ja COEX PE/PA kanistrid, 5 l HDPE ja COEX PE/PA kanistrid, 10 l HDPE ja COEX PE/PA kanistrid, 20 l HDPE ja COEX PE/PA kanistrid",,38089327
506,WAM extra,Repellent,,Pasta,WITASEK PFLANZENSCHUTZ GMBH,"Witasek-Allee 2, A-9560 Feldkirchen, Austria",False,506,2013-11-13,2026-08-31,True,SPo2 Peale kasutamist kogu kaitseriietus pesta.;SPo1 Nahaga kokkupuutel kõigepealt eemaldada vahend kuiva lapiga ning seejärel pesta nahka rohke veega.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P102 Hoida lastele kättesaamatus kohas.,EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,Puudub,-,"St. Ändra 37, A-9433 St. Ändra / Kärnten, Austria",Unterkärntener Farbenerzeugung,"1 kg, 2,5 kg, 5 kg, 7 kg","1 kg, 2,5 kg, 5 kg, 7 kg",38089990
00766,Kinvara,Herbitsiid,,Mikroemulsioon,BARCLAY CHEMICALS (R&D) LTD.,"Damastown Way, Damastown Industrial Park, Mulhuddart, Dublin 15, Iirimaa",True,00766,2019-10-24,2026-10-31,True,"SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 15 m põllumajanduses mittekasutatavast maast.;SPe2 Veeorganismide kaitsmiseks mitte kasutada enne 15. aprilli.;P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P280 Kanda kaitsekindaid ja kaitseprille või kaitsemaski.;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P273 Vältida sattumist keskkonda. ;P391 Mahavoolanud toode kokku koguda. ","H319 Põhjustab tugevat silmade ärritust;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime",Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS09;GHS07;Hoiatus,,"Damastown Way, Damastown Industrial Park, Mulhuddart, Dublin 15, Ireland",Barclay Chemicals Manufacturing Ltd,"1 l, 2 l, 2.5 l, 5 l, 10 l, 20 l (F) - HDPE",,38089311
00772,ARRVA,Herbitsiid,,Mikroemulsioon,BARCLAY CHEMICALS (R&D) LTD.,"Damastown Way, Damastown Industrial Park, Mulhuddart, Dublin 15, Iirimaa",True,00772,2020-02-13,2026-10-31,True,"SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 15 m põllumajanduses mittekasutatavast maast.;SPe2 Veeorganismide kaitsmiseks mitte kasutada enne 15. aprilli.;P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P280 Kanda kaitsekindaid ja kaitseprille või kaitsemaski.;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P273 Vältida sattumist keskkonda. ;P391 Mahavoolanud toode kokku koguda. ","H319 Põhjustab tugevat silmade ärritust;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime",Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS09;GHS07;Hoiatus,,"Damastown Way, Damastown Industrial Park, Mulhuddart, Dublin 15, Ireland",Barclay Chemicals Manufacturing Ltd,"1 l, 2 l, 2.5 l, 5 l, 10 l, 20 l (F) - HDPE",,38089311
00724,"AppleSmart 3,3 VP",Kasvuregulaator,,Aure vabastav toode,INNVIGO SP. Z O. O.,"Aleje Jerozolimskie 178, 02 - 486 Warszawa, Poland",True,00724,2018-08-29,2026-10-31,True,"P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P280 Kanda kaitsekindaid ja kaitseprille või kaitsemaski.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ",EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit,Klassifikatsioon puudub,,,"Aleje Jerozolimskie 178, 02 - 486 Warszawa, Poland",Innvigo Sp. z o. o.,"2,5 g; 3,5 g; 4,9 g; 5,9 g; 8,5 g; 12,9 g; 17,8 g ja 24,6 g vees lahustuvad kotikesed",,38089390
151,Degesch Magtoxin,Insektitsiid;Fumigant,,"Tabletid, kuulikesed",DETIA FREYBERG GMBH,"Dr.-Werner-Freyberg-Straße 11, , 69514, Laudenbach",True,151,2007-05-16,2027-11-30,False,"P232 Hoida niiskuse eest. ;P273 Vältida sattumist keskkonda. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P304+P340 SISSEHINGAMISE KORRAL: toimetada kannatanu värske õhu kätte ja asetada mugavasse puhkeasendisse, mis võimaldab kergesti hingata.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P310 Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P321 Nõuab eriravi (vt Esmaabi käesoleval etiketil).;P335 Pühkida lahtised osakesed nahalt maha. ;P402+P404 Hoida kuivas. Hoida suletud mahutis. ;P405 Hoida luku taga. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPo1 Nahaga kokkupuutel kõigepealt eemaldada vahend kuiva lapiga ning seejärel pesta nahka rohke veega.;P223 Vältida kokkupuudet veega.;P370+P378 Tulekahju korral: kustutamiseks kasutada CO2, liiva, pulberkustutit.","H260 Kokkupuutel veega eraldab tuleohtlikke gaase, mis võivad iseenesest süttida;H300 Allaneelamisel surmav;H311 Nahale sattumisel mürgine;H318 Põhjustab raskeid silmakahjustusi;H330 Sissehingamisel surmav;H400 Väga mürgine veeorganismidele;EUH029 Kokkupuutel veega eraldub mürgine gaas;EUH032 Kokkupuutel hapetega eraldub väga mürgine gaas;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit","Aine ja segu, mis veega kokkupuutel eraldab tuleohtlikke gaase - Water-react. 1;Äge mürgisus - Acute Tox. 2;Äge mürgisus - Acute Tox. 3;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Äge mürgisus - Acute Tox. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1",GHS02;GHS05;GHS06;GHS09;Ettevaatust,Magneesiumfosfiid ja ammooniumkarbamaat,"Dr.-Werner-Freyberg-Str. 11 D-69514 Laudenbach, Germany.",Detia Freyberg Produktion GmbH,,,38089490
00946,MAGTOXIN PELLET,Insektitsiid;Fumigant,,"Tabletid, kuulikesed",DETIA FREYBERG GMBH,"Dr.-Werner-Freyberg-Straße 11,  69514, Laudenbach",True,00946,2025-10-22,2027-11-30,False,"P232 Hoida niiskuse eest. ;P273 Vältida sattumist keskkonda. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P304+P340 SISSEHINGAMISE KORRAL: toimetada kannatanu värske õhu kätte ja asetada mugavasse puhkeasendisse, mis võimaldab kergesti hingata.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P310 Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P321 Nõuab eriravi (vt Esmaabi käesoleval etiketil).;P335 Pühkida lahtised osakesed nahalt maha. ;P402+P404 Hoida kuivas. Hoida suletud mahutis. ;P405 Hoida luku taga. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPo1 Nahaga kokkupuutel kõigepealt eemaldada vahend kuiva lapiga ning seejärel pesta nahka rohke veega.;P223 Vältida kokkupuudet veega.;P370+P378 Tulekahju korral: kustutamiseks kasutada CO2, liiva, pulberkustutit.","H260 Kokkupuutel veega eraldab tuleohtlikke gaase, mis võivad iseenesest süttida;H300 Allaneelamisel surmav;H311 Nahale sattumisel mürgine;H318 Põhjustab raskeid silmakahjustusi;H330 Sissehingamisel surmav;H400 Väga mürgine veeorganismidele;EUH029 Kokkupuutel veega eraldub mürgine gaas;EUH032 Kokkupuutel hapetega eraldub väga mürgine gaas;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit","Aine ja segu, mis veega kokkupuutel eraldab tuleohtlikke gaase - Water-react. 1;Äge mürgisus - Acute Tox. 2;Äge mürgisus - Acute Tox. 3;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Äge mürgisus - Acute Tox. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1",GHS02;GHS05;GHS06;GHS09;Ettevaatust,Magneesiumfosfiid ja ammooniumkarbamaat,"Dr.-Werner-Freyberg-Str. 11 D-69514 Laudenbach, Germany.",Detia Freyberg Produktion GmbH,,,38089490
307,Signum,Fungitsiid,,Vees dispergeeruvad graanulid,BASF UAB,"Spaudos g. 6-1, LT-05132 Vilnius, Leedu",True,307,2010-11-24,2027-04-15,True,"P391 Mahavoolanud toode kokku koguda. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Veeorganismide kaitseks pidada kinni mittepritsitavast puhvervööndist 10 m (pritsides maasikaid, köögivilju, kartulit, pastinaaki, juursellerit, redist, põldubasid, tomatit, ilutaimi ja puukooli) ja 20 m (pritsides viljapuid) pinnaveekogudest.","H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS09;Hoiatus,,"D-67056 Ludwigshafen, Saksamaa",BASF SE,"0.5 l, 1 l, 2.2 l, 5 l, 10 l (sisaldavad 0.5 kg kuni 10 kg toodet).",,38089290
228,Fenix,Herbitsiid,,Suspensioonikontsentraat,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,228,2010-01-13,2027-10-31,True,"SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 meetrit pinnaveekogust. Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 meetrit põllumajanduses mittekasutatavast maast.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P391 Mahavoolanud toode kokku koguda. ;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P201 Enne kasutamist tutvuda erijuhistega.","EUH208 Sisaldab aklonifeeni. Võib esile kutsuda allergilise reaktsiooni.;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime;H351 Arvatavasti põhjustab vähktõbe",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Kantserogeensus - Carc. 2,GHS09;GHS08;Hoiatus,,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",Bayer AG,"1 l HDPE pudel, 5 l, 10 l, 15 l HDPE kanistrid",,38089327
343,Lentagran WP,Herbitsiid,,Märguv pulber,CERTIS BELCHIM B.V.,"Stadsplateau 16, 3521 AZ Utrecht, The Netherlands",True,343,2008-03-14,2031-12-31,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;SPe3 Veeorganismide ja mittesihtmärk organismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m  põllumajanduses mittekasutatavast maast ja pinnaseveekogudest kasutamisel sparglil, brokolil, roos-, lill-, sööda-, pea-, leht-, nui- ja käharal peakapsal, porru- ja küüslaugul, sibulal, šalott- ja talisibulal. Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m  põllumajanduses mittekasutatavast maast kasutamisel rohelisel ja täisküpsel hernel.;P273 Vältida sattumist keskkonda. ;P261 Vältida tolmu ja pihustatud aine sissehingamist.;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P391 Mahavoolanud toode kokku koguda. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime;H317 Võib põhjustada allergilist nahareaktsiooni",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1,GHS09;GHS07;Hoiatus,püridaat,"Stadsplateau 16, 3521 AZ Utrecht, The Netherlands",Certis Belchim B.V.,200 g ja 1 kg vees lahustuv kott,,38089327
594,Maister Power OD,Herbitsiid,,Õlidispersioon,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,594,2016-02-18,2026-06-30,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P310 Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 meetrit pinnaveekogust. Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 meetrit põllumajanduses mittekasutatavast maast.;P261 Vältida tolmu/suitsu/gaasi/udu/auru/pihustatud aine sissehingamist. ;P312 Halva enesetunde korral võtta ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P403+P233 Hoida hästi ventileeritavas kohas. Hoida mahuti tihedalt suletuna. ;P201 Enne kasutamist tutvuda erijuhistega.;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ","H351 Arvatavasti põhjustab vähktõbe;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist;H318 Põhjustab raskeid silmakahjustusi;H335 Võib põhjustada hingamisteede ärritust;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH208 Sisaldab rasvalkoholi etoksülaatalküüleetrit. Võib esile kutsuda allergilist reaktsiooni.;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Kantserogeensus - Carc. 2,GHS05;GHS07;GHS09;GHS08;Ettevaatust,"Preparaat sisaldab ohtlikke aineid: Foraamsulfuroon-naatrium, metüüljodosulfuroon-naatrium,  metüültieenkarbasoon, tsüprosulfamiid, kergelt aromaatne lahusti bensiin, naatriumdokusaat","Bayer CropScience, 16, rue Jean-Marie Leclair, CS 90106, F-69266 Lyon Cedex 09, France",Bayer S.A.S.,"1 l HDPE pudel , 5 l HDPE kanister ja 15 l HDPE kanister",,38089323
553,Maister WG,Herbitsiid,,Vees dispergeeruvad graanulid,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,553,2015-05-08,2026-07-31,True,"P261 Vältida tolmu/suitsu/gaasi/udu/auru/pihustatud aine sissehingamist. ;P201 Enne kasutamist tutvuda erijuhistega.;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P391 Mahavoolanud toode kokku koguda. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime;H317 Võib põhjustada allergilist nahareaktsiooni;H351 Arvatavasti põhjustab vähktõbe",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Kantserogeensus - Carc. 2,GHS09;GHS07;GHS08;Hoiatus,foraamsulfuroon; metüüljodosulfuroon-naatrium; etüülisoksadifeen,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",Bayer AG,600 g toodet pakitud 1 l pudelisse,,38089323
421,K-Obiol EC 25,Insektitsiid,,Emulsioonikontsentraat,2022 ENVIRONMENTAL SCIENCE FR SAS,"1 place Giovanni Da Verrazzano, 69009 Lyon, Prantsusmaa",True,421,2011-11-17,2027-08-15,True,"SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P403+P233 Hoida hästi ventileeritavas kohas. Hoida mahuti tihedalt suletuna. ;P391 Mahavoolanud toode kokku koguda. ;P310 Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P261 Vältida auru ja pihustatud aine sissehingamist;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P304+P340 SISSEHINGAMISE KORRAL: toimetada kannatanu värske õhu kätte ja asetada mugavasse puhkeasendisse, mis võimaldab kergesti hingata.;P331 MITTE kutsuda esile oksendamist. ;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P240 Mahuti ja vastuvõtuseade maandada/ühendada. ;P210 Hoida eemal soojusallikast/sädemetest/leekidest/kuumadest pindadest. – Mitte suitsetada ","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist;H410 Väga mürgine veeorganismidele, pikaajaline toime;H336 Võib põhjustada unisust või peapööritust;H335 Võib põhjustada hingamisteede ärritust;H332 Sissehingamisel kahjulik;H318 Põhjustab raskeid silmakahjustusi;H304 Allaneelamisel või hingamisteedesse sattumisel võib olla surmav;H302 Allaneelamisel kahjulik;H226 Tuleohtlik vedelik ja aur",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Hingamiskahjustused - Asp. Tox. 1;Äge mürgisus - Acute Tox. 4;Tuleohtlik vedelik - Flam. Liq. 3,GHS09;GHS08;GHS07;GHS05;GHS02;Ettevaatust,"Deltametriin. Piperonüülbutoksiid. Tetrapropüleenbenseensulfonaadi kaltsiumsool.
Lahustibensiin (kerge aromaatne).  2-metüülpropaan-1-ool","1 place Giovanni Da Verrazzano, 69009 Lyon, Prantsusmaa",2022 Environmental Science FR SAS,"1L, 5L ja 10L HDPE pudel",,38089110
